"playerID","feature_batting_average","feature_rbi","feature_homeruns","feature_stolen_bases","feature_runs_scored","feature_ERA","feature_saves","feature_strikeouts","feature_wins","feature_WHIP","feature_putouts","feature_assists","feature_doubleplays","feature_allstar_appearences","feature_awards","feature_salary","classification"
"willibi01","0.2899","1475","426","90","1410",\N,\N,\N,\N,\N,"4367","219","96","2","7",\N,"Y"
"willsma01","0.2812","458","20","586","1067",\N,\N,\N,\N,\N,"2786","5512","928","6","9",\N,"N"
"alouma01","0.3070","427","31","156","780","0","0","3","0","2.0000","3794","176","155","0","1",\N,"N"
"barbest01","0.1155","27","5","0","24","4.087222205268012","13","1309","121","1.3847","106","372","31","0",\N,\N,"N"
"breweji01","0.1500","9","0","1","2","3.542777783340878","132","810","69","1.2088","30","150","10","0",\N,\N,"N"
"cannich01","0.2349","169","18","3","132",\N,\N,\N,\N,\N,"3162","333","42","0",\N,\N,"N"
"cardele01","0.2572","689","118","39","662",\N,\N,\N,\N,\N,"3271","5429","1050","0","2",\N,"N"
"davisto02","0.2936","1052","153","136","811",\N,\N,\N,\N,\N,"2429","326","72","3","3",\N,"N"
"johnsde01","0.2436","923","245","11","706",\N,\N,\N,\N,\N,"7038","974","629",\N,"1",\N,"N"
"malonji01","0.2006","53","7","2","51","4.114166637261708","4","1605","134","1.2591","101","232","10","0",\N,\N,"N"
"maricju01","0.1654","75","4","2","73","3.713125005364418","2","2303","243","1.1011","291","577","27","3","5",\N,"Y"
"mcauldi01","0.2474","697","197","63","888",\N,\N,\N,\N,\N,"3267","4225","891","0",\N,\N,"N"
"sadecra01","0.1914","56","5","0","59","3.6859091195193203","7","1614","135","1.3508","62","312","23",\N,\N,\N,"N"
"santoro01","0.2768","1331","342","35","1138",\N,\N,\N,\N,\N,"2100","4717","449","0","11",\N,"Y"
"bolinbo01","0.1631","35","6","1","39","3.2207142966134206","50","1175","88","1.2443","87","190","6",\N,\N,\N,"N"
"brocklo01","0.2926","900","149","938","1610",\N,\N,\N,\N,\N,"4394","142","29","0","7",\N,"Y"
"downial01","0.1269","51","2","0","36","3.552222238646613","3","1639","123","1.2692","72","368","23","0",\N,\N,"N"
"edwarjo01","0.2416","524","81","15","430",\N,\N,\N,\N,\N,"8925","703","105","0","3",\N,"N"
"freehbi01","0.2620","758","200","24","706",\N,\N,\N,\N,\N,"11235","813","196","0","9",\N,"N"
"fregoji01","0.2646","706","151","76","844",\N,\N,\N,\N,\N,"3805","4555","974","0","3",\N,"N"
"gladdfr01","0.0159","3","0","0","1","3.741538432928232","109","394","48","1.3128","33","87","2",\N,\N,\N,"N"
"krausle02","0.1328","24","6","1","23","4.194166700045268","21","721","68","1.3228","84","153","9",\N,\N,\N,"N"
"mcdowsa01","0.1537","36","2","0","34","3.369374990463257","14","2453","141","1.3080","80","328","23","0","2",\N,"N"
"perraro01","0.0958","3","0","0","6","3.3013333400090534","179","687","79","1.3323","45","222","12",\N,"2",\N,"N"
"powelbo01","0.2658","1187","339","20","889",\N,\N,\N,\N,\N,"12796","880","1133","0","5",\N,"N"
"torrejo01","0.2974","1185","252","23","996",\N,\N,\N,\N,\N,"11618","1731","735","0","9",\N,"Y"
"woodwi01","0.0839","13","0","1","11","4.179999947547913","57","1411","164","1.2317","84","523","26","0","3",\N,"N"
"yastrca01","0.2852","1844","452","168","1816",\N,\N,\N,\N,\N,"10437","775","643","0","16",\N,"Y"
"ageeto01","0.2554","433","130","167","558",\N,\N,\N,\N,\N,"2371","53","18","0","3",\N,"N"
"allenbe01","0.2394","351","73","13","357",\N,\N,\N,\N,\N,"2031","2347","558",\N,\N,\N,"N"
"bailebo01","0.2572","773","189","85","772",\N,\N,\N,\N,\N,"2258","2397","314",\N,\N,\N,"N"
"berryke01","0.2546","343","58","45","422",\N,\N,\N,\N,\N,"2722","85","15","0","2",\N,"N"
"boutoji01","0.1009","21","0","0","8","3.980909130790017","6","720","62","1.2643","112","177","13","0",\N,\N,"N"
"giustda01","0.1869","46","4","0","29","3.6362499818205833","145","1103","100","1.2955","134","264","11","0","1",\N,"N"
"harpeto01","0.2567","567","146","408","972",\N,\N,\N,\N,\N,"2823","787","121","0",\N,\N,"N"
"hickmji02","0.2521","560","159","17","518","4.5","0","0","0","1.0000","3947","392","243","0",\N,\N,"N"
"kennejo03","0.2251","185","32","14","237",\N,\N,\N,\N,\N,"886","1456","239",\N,\N,\N,"N"
"kraneed01","0.2609","614","118","15","536",\N,\N,\N,\N,\N,"10840","789","901","0",\N,\N,"N"
"maxvida01","0.2173","252","6","7","302",\N,\N,\N,\N,\N,"1974","3684","714",\N,"1",\N,"N"
"mcmulke01","0.2481","606","156","20","568",\N,\N,\N,\N,\N,"1769","2775","302",\N,\N,\N,"N"
"mcnalda01","0.1327","43","9","0","49","3.219285709517343","2","1512","184","1.2139","97","417","37","0","1",\N,"N"
"menkede01","0.2504","606","101","34","605",\N,\N,\N,\N,\N,"3108","3688","687","0",\N,\N,"N"
"motama01","0.3040","438","31","50","496",\N,\N,\N,\N,\N,"1481","83","16","0",\N,\N,"N"
"olivato01","0.3042","947","220","86","870",\N,\N,\N,\N,\N,"2332","71","19","0","9",\N,"N"
"pepitjo01","0.2580","721","219","41","606",\N,\N,\N,\N,\N,"9036","650","785","0","4",\N,"N"
"perryga01","0.1310","47","6","0","48","3.3960000181198122","11","3534","314","1.1807","349","877","58","0","4",\N,"Y"
"richepe01","0.1448","15","1","2","21","3.150666666030884","51","925","80","1.1864","53","168","14","0",\N,\N,"N"
"rojasco01","0.2631","593","54","74","714","0","0","0","0","1.0000","3466","3965","971","0","1",\N,"N"
"seguidi01","0.1510","24","4","0","26","3.768124982714653","71","1298","92","1.3509","128","243","11",\N,\N,\N,"N"
"stargwi01","0.2816","1540","475","17","1195",\N,\N,\N,\N,\N,"9278","486","713","0","12",\N,"Y"
"vealebo01","0.1143","18","0","0","26","3.4442856992994035","21","1703","120","1.3198","37","270","19","0",\N,\N,"N"
"allendi01","0.2919","1119","351","133","1099",\N,\N,\N,\N,\N,"7658","1711","756","0","5",\N,"N"
"alleyge01","0.2544","342","55","63","442",\N,\N,\N,\N,\N,"1879","3641","805","0","4",\N,"N"
"alouje01","0.2799","377","32","31","448",\N,\N,\N,\N,\N,"1693","63","16",\N,\N,\N,"N"
"boccajo01","0.2189","148","26","3","117",\N,\N,\N,\N,\N,"2477","243","126",\N,\N,\N,"N"
"brownga01","0.2573","322","84","30","330",\N,\N,\N,\N,\N,"693","23","3",\N,\N,\N,"N"
"brownla01","0.2328","254","47","22","331",\N,\N,\N,\N,\N,"1665","2585","525",\N,\N,\N,"N"
"cardejo02","0.2747","775","138","329","936",\N,\N,\N,\N,\N,"3964","164","70",\N,\N,\N,"N"
"culpra01","0.1229","34","1","0","40","3.77636363289573","1","1411","122","1.2795","135","237","15","0",\N,\N,"N"
"davalvi01","0.2793","329","36","125","509",\N,\N,\N,\N,\N,"2389","82","45","0","1",\N,"N"
"gagliph01","0.2381","159","14","5","150",\N,\N,\N,\N,\N,"697","570","106",\N,\N,\N,"N"
"gosgeji01","0.2264","177","30","25","197",\N,\N,\N,\N,\N,"1162","36","23",\N,\N,\N,"N"
"groteje01","0.2517","404","39","15","352",\N,\N,\N,\N,\N,"8103","666","81","0",\N,\N,"N"
"hoernjo01","0.1017","3","1","0","2","3.8999999463558197","99","412","39","1.2441","19","57","1","0",\N,\N,"N"
"hortowi01","0.2731","1163","325","20","873",\N,\N,\N,\N,\N,"1921","60","8","0","2",\N,"N"
"huntro01","0.2730","370","39","65","745",\N,\N,\N,\N,\N,"2822","3807","713","0","1",\N,"N"
